,代號,名稱,股東權益(億),每股淨值(元)
809,1522,堤維西,81.9,23.07
810,3029,零壹,35.5,23.04
811,4952,凌通,25,22.99
812,1784,訊聯,13.2,22.98
813,1342,八貫,15.6,22.93
814,3374,精材,62.2,22.91
815,1109,信大,98.5,22.9
816,1604,聲寶,86.6,22.9
817,6776,展碁國際,20.4,22.89
818,2002,中鋼,3870.0,22.88
819,1313,聯成,299,22.84
820,6532,瑞耘,8.25,22.84
821,5281,大峽谷-KY,8.45,22.8
822,2905,三商,472,22.79
823,6112,聚碩,44.6,22.78
824,1521,大億,17.3,22.75
825,5878,台名,5.69,22.74
826,3221,台嘉碩,23.9,22.71
827,3550,聯穎,19.4,22.71
828,4440,宜新實業,15.3,22.66
829,8183,精星,27.2,22.65
830,5007,三星,68.7,22.61
831,3490,單井,12.9,22.6
832,6141,柏承,28,22.56
833,6590,普鴻,5.15,22.56
834,1231,聯華食,45.7,22.55
835,1760,寶齡富錦,19.3,22.55
836,1423,利華,31.1,22.49
837,6470,宇智,7.32,22.47
838,4945,陞達科技,6.75,22.46
839,2450,神腦,58.1,22.45
840,4923,力士,5.48,22.45
841,1541,錩泰,17.7,22.44
842,4429,聚紡,7.68,22.4
843,4401,東隆興,27.5,22.39
844,6231,系微,8.51,22.37
845,1409,新纖,463,22.36
846,6108,競國,35.7,22.34
847,8390,金益鼎,27.1,22.32
848,4545,銘鈺,17.1,22.25
849,1418,東華,12.1,22.24
850,6548,長科*,84.1,22.24
851,2420,新巨,34.3,22.23
852,2340,台亞,97,22.2
853,1752,南光,22.4,22.18
854,1203,味王,62.5,22.17
855,2885,元大金,2891.0,22.17
856,3645,達邁,29,22.16
857,6242,立康,4.92,22.16
858,8289,泰藝,15.1,22.16
859,6208,日揚,30,22.1
860,8450,霹靂,11.4,22.1
861,6492,生華科,19.7,22.05
862,8089,康全電訊,12.6,22.05
863,2903,遠百,398,22.04
864,5213,亞昕,89.1,22.03
865,3402,漢科,16.1,22.02
866,8420,明揚,11.2,22.02
867,1618,合機,42.4,22.01
868,8438,昶昕,13.7,22.01
869,8147,正淩,6.73,21.99
870,6612,奈米醫材,8.21,21.98
871,3541,西柏,12.4,21.97
872,3032,偉訓,36,21.96
873,2374,佳能,66.2,21.95
874,3178,公準,10.2,21.95
875,2501,國建,263,21.94
876,6547,高端疫苗,46.8,21.94
877,1786,科妍,14.5,21.9
878,3577,泓格,11.6,21.9
879,5457,宣德,80.8,21.88
880,9931,欣高,24.6,21.85
881,2103,台橡,201,21.83
882,2477,美隆電,46.3,21.8
883,2417,圓剛,41.9,21.78
884,6594,展匯科,6.38,21.77
885,2855,統一證,318,21.76
886,2221,大甲,9.74,21.75
887,4550,長佳,8.23,21.74
888,8455,大拓-KY,6.84,21.74
889,9933,中鼎,206,21.74
890,5543,桓鼎-KY,13.4,21.72
891,2596,綠意,25.3,21.62
892,8431,匯鑽科,10.9,21.59
893,6721,信實,4.31,21.57
894,2891,中信金,4526.0,21.53
895,6514,芮特-KY,6.46,21.52
896,1526,日馳,12.9,21.48
897,2464,盟立,42.1,21.48
898,5347,世界,352,21.46
899,8462,柏文,16.6,21.39
900,8110,華東,112,21.38
901,1909,榮成,274,21.36
902,2493,揚博,24.4,21.32
903,6221,晉泰,15.3,21.32
904,1452,宏益,28.3,21.3
905,4432,銘旺實,10.8,21.3
906,6425,易發,9.29,21.3
907,1314,中石化,805,21.27
908,2353,宏碁,660,21.22
909,6198,凌泰,4.8,21.21
910,3556,禾瑞亞,13.7,21.2
911,6182,合晶,167,21.19
912,1614,三洋電,55.2,21.15
913,2034,允強,94,21.15
914,5601,台聯櫃,13.7,21.13
915,2368,金像電,114,21.09
916,8996,高力,18.8,21.09
917,2352,佳世達,662,21.08
918,3591,艾笛森,27.8,21.06
919,3594,磐儀,15.5,21.06
920,5011,久陽,20.4,21.05
921,6186,新潤,28.7,21.04
922,5489,彩富,21,21.02
923,5519,隆大,45.9,20.96
924,5244,弘凱,12.6,20.94
925,4976,佳凌,28.7,20.92
926,3092,鴻碩,19.3,20.91
927,1473,台南,30.5,20.89
928,3060,銘異,29.1,20.86
929,6104,創惟,18.9,20.86
930,2436,偉詮電,36.7,20.83
931,5608,四維航,70.2,20.81
932,4105,東洋,57.7,20.78
933,3055,蔚華科,26.4,20.76
934,2344,華邦電,900,20.71
935,3444,利機,8.07,20.64
936,2106,建大,187,20.6
937,8048,德勝,11.2,20.58
938,1457,宜進,78.9,20.55
939,9910,豐泰,199,20.54
940,1539,巨庭,13.4,20.53
941,1216,統一,1810.0,20.52
942,3630,新鉅科,37.8,20.52
943,5706,鳳凰,14,20.51
944,3114,好德,12.1,20.5
945,3704,合勤控,92.2,20.5
946,5220,萬達光電,8.13,20.49
947,1785,光洋科,124,20.47
948,4542,科嶠,6.67,20.47
949,4106,雃博,20.6,20.41
950,5009,榮剛,95.1,20.35
951,3226,至寶電,13.1,20.34
952,6166,凌華,44.2,20.32
953,4205,中華食,18,20.3
954,3356,奇偶,18.3,20.27
955,5015,華祺,12.3,20.25
956,3512,皇龍,17,20.24
957,1309,台達化,76.6,20.23
958,2937,集雅社,7.4,20.2
959,6270,倍微,14.6,20.2
960,4908,前鼎,15.8,20.19
961,1336,台翰,15.5,20.09
962,8926,台汽電,120,20.09
963,3580,友威科,7.78,20.08
964,4554,橙的,4.29,20.07
965,6179,亞通,18.2,20.07
966,3537,堡達,10.7,20.04
967,6697,東捷資訊,5.48,20.04
968,9926,新海,36,20.04
969,9946,三發地產,65.4,20.04
970,1531,高林股,36.5,20.03
971,4563,百德,11,20.03
972,4133,亞諾法,12.1,20.01
973,4904,遠傳,661,19.99
974,6204,艾華,4.61,19.96
975,6741,91APP*-KY,24.1,19.96
976,4744,皇將,8.87,19.93
977,3709,鑫聯大投控,20.1,19.92
978,2939,凱羿-KY,9.08,19.91
979,6251,定穎,55.2,19.89
980,6578,達邦蛋白,6.74,19.89
981,2038,海光,39.1,19.87
982,3206,志豐,11.7,19.87
983,1227,佳格,185,19.86
984,3363,上詮,17.5,19.84
985,6790,永豐實,53.4,19.82
986,6158,禾昌,10.9,19.8
987,5438,東友,22.2,19.76
988,6680,鑫創電子,3.64,19.76
989,4526,東台,56.3,19.74
990,6175,立敦,34,19.73
991,1337,再生-KY,53,19.71
992,1810,和成,73.6,19.71
993,6229,研通,7.02,19.71
994,1236,宏亞,21.3,19.65
995,4956,光鋐,19.7,19.65
996,2453,凌群,19.7,19.64
997,3564,其陽,11.6,19.61
998,8928,鉅明,9.96,19.59
999,8921,沈氏,9.12,19.58
1000,6151,晉倫,10.8,19.57
1001,1717,長興,247,19.54
1002,5481,新華,13.9,19.53
1003,6020,大展證,49.2,19.49
1004,6419,京晨科,2.57,19.48
1005,2206,三陽工業,168,19.45
1006,3338,泰碩,17.1,19.44
1007,1586,和勤,16.2,19.43
1008,2485,兆赫,64.1,19.4
1009,3511,矽瑪,22.2,19.4
1010,2731,雄獅,16.3,19.39
1011,8936,國統,67.4,19.35
1012,4111,濟生,11,19.32
1013,3607,谷崧,23.6,19.3
1014,2415,錩新,26.2,19.29
1015,3033,威健,80.2,19.29
1016,3437,榮創,27.9,19.29
1017,2402,毅嘉,57.3,19.27
1018,8011,台通,35.9,19.27
1019,5272,笙科,10.6,19.26
1020,1307,三芳,76.5,19.23
1021,4768,晶呈科技,7.29,19.22
1022,1305,華夏,118,19.21
1023,6220,岳豐,25.4,19.19
1024,6282,康舒,105,19.14
1025,2748,雲品,17.3,19.1
1026,8107,大億金茂,14.4,19.04
1027,2820,華票,256,19.03
1028,8415,大國鋼,196,19
1029,3303,岱稜,17.9,18.98
1030,5206,坤悅,29.6,18.98
1031,1626,艾美特-KY,27.6,18.94
1032,4706,大恭,15,18.94
1033,2455,全新,35,18.9
1034,3224,三顧,29.6,18.9
1035,4995,晶達,7.9,18.86
1036,6770,力積電,666,18.84
1037,4527,方土霖,15.3,18.82
1038,6124,業強,34.9,18.81
1039,8404,百和興業-KY,59.3,18.81
1040,2509,全坤建,45.3,18.8
1041,4305,世坤,10.3,18.79
1042,4728,雙美,10.2,18.79
1043,5864,致和證,47.3,18.77
1044,1587,吉茂,12.9,18.75
1045,2425,承啟,20.6,18.74
1046,2331,精英,105,18.73
1047,2467,志聖,30.5,18.67
1048,4711,永純,11.4,18.67
1049,6171,大城地產,16.2,18.66
1050,6743,安普新,27.6,18.66
1051,4556,旭然,7.82,18.65
1052,2838,聯邦銀,659,18.64
1053,2506,太設,85.8,18.63
1054,8234,新漢,28.4,18.63
1055,2414,精技,40.6,18.62
1056,6570,維田,5.6,18.61
1057,1456,怡華,17.4,18.59
1058,1802,台玻,578,18.58
1059,2913,農林,147,18.58
1060,4561,健椿,10.9,18.58
1061,3219,倚強科,14.8,18.46
1062,3209,全科,39.1,18.44
1063,6698,旭暉應材,17,18.44
1064,4721,美琪瑪,13.8,18.42
1065,1608,華榮,90.1,18.39
1066,1416,廣豐,34.8,18.38
1067,6161,捷波,13.8,18.38
1068,6207,雷科,15.5,18.38
1069,2486,一詮,42.5,18.35
1070,1796,金穎生技,7.48,18.33
1071,6209,今國光,31.9,18.31
1072,5512,力麒,174,18.3
1073,8374,羅昇,20.5,18.29
1074,2390,云辰,39.1,18.27
1075,5515,建國,47,18.27
1076,2489,瑞軒,141,18.25
1077,6177,達麗,72.1,18.22
1078,2888,新光金,2634.0,18.21
1079,5258,虹堡,16.9,18.2
1080,2241,艾姆勒,16.3,18.18
1081,2504,國產,225,18.18
1082,2916,滿心,9.92,18.17
1083,6509,聚和,31.4,18.15
1084,2462,良得電,25.7,18.11
1085,6123,上奇,13.2,18.11
1086,2756,聯發國際,2.8,18.08
1087,5464,霖宏,12.8,18.05
1088,6021,美好證,55.9,18.04
1089,4532,瑞智,104,18.01
1090,6216,居易,15.8,18
1091,2706,第一店,89.9,17.97
1092,3294,英濟,23.9,17.97
1093,6662,樂斯科,4.6,17.97
1094,4155,訊映,17,17.95
1095,6596,寬宏藝術,5.38,17.93
1096,8028,昇陽半導體,25.2,17.93
1097,1410,南染,11.8,17.92
1098,2009,第一銅,64.4,17.92
1099,3518,柏騰,14.2,17.9
1100,1615,大山,24.6,17.88
1101,4510,高鋒,19.4,17.88
1102,3257,虹冠電,14.2,17.84
1103,6005,群益證,415,17.84
1104,2849,安泰銀,348,17.8
1105,4707,磐亞,58.3,17.76
1106,1712,興農,75.1,17.72
1107,6735,美達科技,6.24,17.72
1108,8064,東捷,31.4,17.72
1109,2926,誠品生活,8.49,17.7
1110,2030,彰源,49.5,17.66
1111,2611,志信,32.7,17.64
1112,4989,榮科,24.3,17.62
1113,9918,欣天然,31.3,17.6
1114,6215,和椿,14.6,17.59
1115,3048,益登,43.1,17.58
1116,3380,明泰,124,17.58
1117,1733,五鼎,17.5,17.54
1118,2035,唐榮,61.4,17.53
1119,6275,元山,12.1,17.5
1120,2010,春源,119,17.48
1121,2718,晶悅,12.7,17.46
1122,1813,寶利徠,8.38,17.45
1123,2421,建準,43.7,17.4
1124,5516,雙喜,7.2,17.4
1125,1718,中纖,718,17.39
1126,5211,蒙恬,5.7,17.39
1127,1815,富喬,74.5,17.38
1128,3567,逸昌,5.9,17.38
1129,5880,合庫金,2429.0,17.37
1130,2892,第一金,2245.0,17.32
1131,1742,台蠟,13.9,17.31
1132,1809,中釉,33.8,17.28
1133,6116,彩晶,507,17.28
1134,9937,全國,53.6,17.26
1135,2471,資通,8.19,17.25
1136,2461,光群雷,42.7,17.22
1137,2401,凌陽,126,17.2
1138,3176,基亞,64.3,17.18
1139,4121,優盛,17.8,17.14
1140,4306,炎洲,110,17.14
1141,6026,福邦證,55.2,17.14
1142,4558,寶緯,7.55,17.13
1143,2063,世鎧,7.7,17.11
1144,8096,擎亞,24.8,17.1
1145,2064,晉椿,11.8,17.06
1146,1808,潤隆,66.8,17.02
1147,6243,迅杰,7.53,16.99
1148,5523,豐謙,26.4,16.96
1149,8074,鉅橡,14.1,16.95
1150,4907,富宇,20,16.93
1151,8049,晶采,20,16.91
1152,2722,夏都,20.1,16.9
1153,3631,晟楠,17,16.89
1154,9940,信義,126,16.88
1155,1570,力肯,8.66,16.82
1156,4153,鈺緯,9.86,16.81
1157,3118,進階,5.45,16.79
1158,3031,佰鴻,30.3,16.78
1159,2423,固緯,24.3,16.77
1160,3466,致振,10.2,16.77
1161,5386,青雲,4.16,16.77
1162,2701,萬企,75.4,16.76
1163,1440,南紡,280,16.74
1164,5525,順天,43.5,16.74
1165,8931,大汽電,20.4,16.72
1166,6163,華電網,21.6,16.71
1167,8066,來思達,6.62,16.71
1168,6558,興能高,15.7,16.69
1169,2023,燁輝,329,16.66
1170,3162,精確,18.2,16.59
1171,3441,聯一光,6.73,16.59
1172,6624,萬年清,2.98,16.58
1173,8929,富堡,8.84,16.58
1174,3062,建漢,54.5,16.57
1175,5102,富強,10.6,16.55
1176,6156,松上,17.3,16.54
1177,2618,長榮航,927,16.52
1178,4113,聯上,34.9,16.52
1179,6122,擎邦,11.7,16.51
1180,8088,品安,10,16.48
1181,5490,同亨,15.3,16.46
1182,2468,華經,11.5,16.42
1183,4939,亞電,16.1,16.4
1184,1517,利奇,38,16.37
1185,6155,鈞寶,14.2,16.36
1186,2371,大同,254,16.35
1187,2801,彰銀,1715.0,16.35
1188,8401,白紗科,9.81,16.35
1189,8917,欣泰,24.1,16.33
1190,3086,華義,3.16,16.31
1191,5432,新門,3.37,16.3
1192,2020,美亞,36.2,16.27
1193,6154,順發,13,16.24
1194,1734,杏輝,30.8,16.23
1195,2887,台新金,1981.0,16.22
1196,3016,嘉晶,46.1,16.21
1197,6168,宏齊,35.1,16.2
1198,8105,凌巨,71.5,16.19
1199,3050,鈺德,26.9,16.13
1200,3041,揚智,30.9,16.11
1201,3581,博磊,9.37,16.1
1202,1233,天仁,14.6,16.09
1203,1711,永光,91.1,16.08
1204,6015,宏遠證,53.3,16.08
1205,1713,國化,24.3,16.07
1206,3390,旭軟,10.8,16.05
1207,4754,國碳科,4,15.99
1208,1709,和益,79,15.98
1209,8099,大世科,14.2,15.98
1210,1442,名軒,58.5,15.96
1211,3164,景岳,15.2,15.94
1212,3663,鑫科,11.7,15.94
1213,1474,弘裕,20.9,15.93
1214,2356,英業達,564,15.91
1215,3297,杭特,5.74,15.91
1216,6266,泰詠,16.3,15.91
1217,2883,開發金,2931.0,15.88
1218,3205,佰研,5.32,15.88
1219,3489,森寶,13.2,15.83
1220,4114,健喬,61,15.83
1221,6512,啟發電,3.96,15.83
1222,8071,能率網通,10.8,15.83
1223,1466,聚隆,17.6,15.8
1224,8070,長華*,147,15.8
1225,9960,邁達康,5.31,15.8
1226,2511,太子,258,15.79
1227,4426,利勤,27.3,15.79
1228,1225,福懋油,38.7,15.73
1229,8215,明基材,51.6,15.73
1230,2014,中鴻,226,15.72
1231,2369,菱生,61,15.72
1232,6218,豪勉,10.1,15.69
1233,1514,亞力,36.1,15.67
1234,2323,中環,184,15.63
1235,3362,先進光,20.7,15.62
1236,1465,偉全,16.2,15.61
1237,1438,三地開發,11.1,15.59
1238,2442,新美齊,43.9,15.58
1239,2457,飛宏,58.4,15.58
1240,6446,藥華藥,42.5,15.57
1241,6183,關貿,23.3,15.56
1242,6248,沛波,7.11,15.54
1243,2867,三商壽,414,15.52
1244,4960,誠美材,105,15.5
1245,5014,建錩,25.7,15.4
1246,1609,大亞,115,15.37
1247,3597,映興,6,15.36
1248,8489,三貝德,9.8,15.35
1249,1258,其祥-KY,5.65,15.34
1250,5351,鈺創,42.4,15.34
1251,2367,燿華,94.9,15.33
1252,5353,台林,11.5,15.33
1253,3027,盛達,15.6,15.3
1254,2641,正德,28.8,15.25
1255,8443,阿瘦,10.2,15.24
1256,2634,漢翔,143,15.21
1257,2880,華南金,2007.0,15.21
1258,5443,均豪,29.1,15.2
1259,4994,傳奇,16.8,15.19
1260,4716,大立,11,15.16
1261,3492,長盛,5.38,15.14
1262,1110,東泥,87.1,15.13
1263,3052,夆典,30.8,15.13
1264,1540,喬福,12.9,15.11
1265,1731,美吾華,20.1,15.09
1266,2017,官田鋼,61.6,15.08
1267,4533,協易機,23.9,15.06
1268,6240,松崗,3.44,15.05
1269,5410,國眾,13.1,15.02
1270,8440,綠電,5.71,15.02
1271,3360,尚立,10.3,15.01
1272,1806,冠軍,65,14.98
1273,6170,統振,15.4,14.97
1274,8463,潤泰材,25,14.96
1275,8171,天宇,8.77,14.94
1276,1776,展宇,11.7,14.93
1277,6016,康和證,89.3,14.93
1278,8024,佑華,6.74,14.93
1279,2515,中工,229,14.92
1280,8930,青鋼,12,14.9
1281,4523,永彰,9.52,14.88
1282,5321,美而快,7.49,14.88
1283,1710,東聯,160,14.87
1284,2012,春雨,46.7,14.86
1285,3266,昇陽,56.6,14.86
1286,5315,光聯,15.8,14.86
1287,1783,和康生,11.4,14.83
1288,2426,鼎元,45,14.83
1289,2342,茂矽,23.4,14.82
1290,2008,高興昌,29.7,14.79
1291,3354,律勝,10.3,14.75
1292,4916,事欣科,12.1,14.75
1293,6506,雙邦,12.7,14.72
1294,2495,普安,40.3,14.71
1295,1414,東和,32.3,14.69
1296,2836,高雄銀,177,14.69
1297,2743,山富,4.7,14.68
1298,8927,北基,37.8,14.65
1299,2413,環科,18.6,14.64
1300,2419,仲琦,53.1,14.63
1301,2906,高林,57.2,14.63
1302,8923,時報,4.44,14.61
1303,3171,新洲,9,14.6
1304,1568,倉佑,14.9,14.55
1305,5465,富驊,25.1,14.55
1306,2884,玉山金,1944.0,14.54
1307,3122,笙泉,5.57,14.54
1308,2460,建通,24.1,14.5
1309,5906,台南-KY,5.28,14.49
1310,3609,三一東林,4.44,14.48
1311,9955,佳龍,14.9,14.46
1312,4702,中美實,10.5,14.45
1313,2890,永豐金,1628.0,14.44
1314,9934,成霖,51.7,14.44
1315,1735,日勝化,14.3,14.41
1316,3290,東浦,14.3,14.41
1317,2537,聯上發,43.3,14.4
1318,3013,晟銘電,22.4,14.38
1319,1218,泰山,69.9,14.37
1320,2028,威致,46.8,14.36
1321,2434,統懋,5.3,14.34
1322,7402,邑錡,3.47,14.34
1323,4142,國光生,64.3,14.32
1324,2358,廷鑫,17.8,14.31
1325,4161,聿新科,6.95,14.3
1326,5514,三豐,28.5,14.3
1327,6235,華孚,24.7,14.29
1328,3188,鑫龍騰,17.2,14.27
1329,3236,千如,13.2,14.25
1330,3623,富晶通,4.16,14.25
1331,6603,富強鑫,22.7,14.25
1332,8426,紅木-KY,7.16,14.25
1333,6482,弘煜科,2.45,14.24
1334,1905,華紙,176,14.23
1335,2208,台船,133,14.21
1336,2491,吉祥全,20.9,14.2
1337,1417,嘉裕,26.9,14.14
1338,2845,遠東銀,497,14.14
1339,8111,立碁,15.5,14.14
1340,2332,友訊,90,14.13
1341,2726,雅茗-KY,5.19,14.12
1342,2465,麗臺,7.52,14.06
1343,8423,保綠-KY,3.39,14.06
1344,2007,燁興,74.5,14.05
1345,6573,虹揚-KY,11.8,14.03
1346,5212,凌網,4.94,13.99
1347,6190,萬泰科,24.6,13.99
1348,2812,台中銀,635,13.98
1349,8908,欣雄,31.3,13.98
1350,2904,匯僑,9.62,13.94
1351,4168,醣聯,13.6,13.94
1352,3285,微端,6.06,13.93
1353,4303,信立,9.47,13.93
1354,6185,幃翔,20.9,13.93
1355,1201,味全,70.5,13.92
1356,4931,新盛力,8.86,13.92
1357,6259,百徽,2.85,13.9
1358,5820,日盛金,533,13.89
1359,3128,昇銳,5.91,13.87
1360,3694,海華,20.9,13.86
1361,4529,淳紳,11.7,13.84
1362,6120,達運,92.1,13.84
1363,1453,大將,14,13.78
1364,3312,弘憶股,19,13.77
1365,2908,特力,69.8,13.76
1366,5452,佶優,22.1,13.76
1367,1455,集盛,73.1,13.75
1368,1219,福壽,44.7,13.72
1369,6125,廣運,47.5,13.72
1370,2910,統領,24,13.67
1371,4538,大詠城,6.9,13.67
1372,1611,中電,44,13.65
1373,2399,映泰,24.3,13.65
1374,3021,鴻名,12.7,13.65
1375,4174,浩鼎,38.7,13.65
1376,3038,全台,20.7,13.64
1377,6288,聯嘉,24,13.64
1378,1727,中華化,14.8,13.62
1379,5251,天鉞電,4.61,13.62
1380,1524,耿鼎,22.5,13.6
1381,1310,台苯,73.7,13.57
1382,2482,連宇,8.42,13.57
1383,8076,伍豐,36.1,13.55
1384,3707,漢磊,63.7,13.53
1385,9919,康那香,26.4,13.51
1386,8477,創業家,4.27,13.5
1387,2101,南港,112,13.49
1388,2538,基泰,63.2,13.48
1389,3083,網龍,11.9,13.47
1390,9902,台火,13.2,13.41
1391,1217,愛之味,74,13.39
1392,6174,安碁,6.69,13.39
1393,1220,台榮,25.9,13.33
1394,1519,華城,35.2,13.33
1395,1516,川飛,4.75,13.31
1396,6530,創威,4.49,13.31
1397,6661,威健生技,3.1,13.3
1398,1789,神隆,105,13.29
1399,2431,聯昌,14.7,13.28
1400,5276,達輝-KY,5.24,13.27
1401,1463,強盛,22.8,13.26
1402,6767,台微醫,3.86,13.26
1403,3232,昱捷,4.85,13.25
1404,2539,櫻花建,84.9,13.24
1405,1454,台富,16.2,13.23
1406,6542,隆中,6.32,13.23
1407,1617,榮星,19.4,13.2
1408,5426,振發,19,13.2
1409,3268,海德威,4.4,13.17
1410,2365,昆盈,29.5,13.16
1411,3296,勝德,12.7,13.16
1412,3071,協禧,15.3,13.15
1413,4160,創源,3.19,13.15
1414,2834,臺企銀,1017.0,13.13
1415,2032,新鋼,17.1,13.11
1416,5704,老爺知,5.08,13.07
1417,6418,詠昇,4.5,13.04
1418,3646,艾恩特,5.12,13.03
1419,3701,大眾控,45.2,13.02
1420,2889,國票金,442,13.01
1421,4207,環泰,29.2,13.01
1422,6535,順藥,21.2,12.99
1423,2033,佳大,10.5,12.97
1424,6693,廣閎科,5.26,12.93
1425,6625,必應,5.76,12.92
1426,2630,亞航,19.4,12.91
1427,8476,台境,9.32,12.86
1428,5201,凱衛,3.94,12.85
1429,2024,志聯,12.5,12.83
1430,2528,皇普,42.3,12.83
1431,3049,和鑫,109,12.83
1432,6649,台生材,4.23,12.8
1433,3094,聯傑,10.5,12.79
1434,4130,健亞,13.8,12.78
1435,6140,訊達,4.91,12.78
1436,4562,穎漢,11.2,12.76
1437,4714,永捷,38.7,12.76
1438,6199,天品,8,12.75
1439,1449,佳和,14.7,12.73
1440,2329,華泰,93.5,12.72
1441,3230,錦明,9.04,12.72
1442,6165,浪凡,6.73,12.67
1443,2061,風青,5.87,12.66
1444,5460,同協,7.44,12.66
1445,3672,康聯訊,3.92,12.64
1446,1324,地球,9.49,12.63
1447,1721,三晃,23.3,12.61
1448,6126,信音,20,12.61
1449,1445,大宇,16.5,12.6
1450,3067,全域,2.52,12.6
1451,6130,星寶國際,4.73,12.6
1452,1591,駿吉-KY,4.11,12.58
1453,1714,和桐,166,12.58
1454,4183,福永生技,2.99,12.57
1455,1467,南緯,31.1,12.56
1456,6616,特昇-KY,3.69,12.53
1457,3349,寶德,4.26,12.52
1458,9907,統一實,209,12.51
1459,2610,華航,772,12.47
1460,2547,日勝生,116,12.46
1461,4726,永昕,19.1,12.43
1462,6233,旺玖,9.89,12.43
1463,3379,彬台,4.72,12.4
1464,2427,三商電,22.9,12.39
1465,3372,典範,21.7,12.39
1466,6283,淳安,20.3,12.39
1467,6134,萬旭,9.97,12.3
1468,3535,晶彩科,9.71,12.29
1469,4911,德英,6.83,12.28
1470,4720,德淵,13.4,12.26
1471,3339,泰谷,6.31,12.23
1472,8097,常珵,4.88,12.22
1473,6219,富旺,18.8,12.2
1474,2364,倫飛,2.86,12.15
1475,4102,永日,5.76,12.13
1476,1464,得力,54,12.1
1477,1529,樂士,16.5,12.08
1478,2633,台灣高鐵,678,12.04
1479,9962,有益,10.9,12.04
1480,2897,王道銀行,552,12.02
1481,9935,慶豐富,20.2,12
1482,6148,驊宏資,5.46,11.97
1483,3051,力特,20.3,11.96
1484,6117,迎廣,10.6,11.92
1485,2601,益航,133,11.9
1486,5450,南良,14.5,11.85
1487,3685,元創精密,13.4,11.84
1488,2614,東森,66.6,11.8
1489,3207,耀勝,5.05,11.78
1490,3073,天方能源,3.56,11.77
1491,3419,譁裕,14.2,11.76
1492,2497,怡利電,13.9,11.74
1493,1470,大統新創,10.1,11.73
1494,6276,安鈦克,3.7,11.73
1495,8932,宏大,7.04,11.72
1496,5905,南仁湖,24.9,11.71
1497,2901,欣欣,8.55,11.7
1498,3322,建舜電,12.2,11.68
1499,8047,星雲,4.86,11.68
1500,9906,欣巴巴,9.74,11.68
1501,4406,新昕纖,6.06,11.67
1502,4147,中裕,29.4,11.66
1503,2530,華建,86.4,11.65
1504,6265,方土昶,13.8,11.65
1505,3002,歐格,13,11.62
1506,3287,廣寰科,5.7,11.59
1507,5364,力麗店,3.67,11.57
1508,2102,泰豐,53.1,11.55
1509,3089,億杰,7.54,11.53
1510,3555,重鵬,2.97,11.52
1511,4502,健信,6.74,11.52
1512,6443,元晶,51.3,11.51
1513,6461,益得,13.4,11.5
1514,1108,幸福,46.5,11.48
1515,8034,榮群,7.18,11.48
1516,6160,欣技,7.86,11.46
1517,1447,力鵬,106,11.45
1518,1732,毛寶,4.86,11.45
1519,6118,建達,10.4,11.42
1520,3434,哲固,2.59,11.41
1521,2745,五福,3.34,11.4
1522,1528,恩德,22.9,11.38
1523,5398,慕康生醫,5.63,11.38
1524,3025,星通,8.06,11.37
1525,5902,德記,10.7,11.37
1526,1444,力麗,119,11.36
1527,2712,遠雄來,11.9,11.35
1528,8906,花王,3.65,11.35
1529,4503,金雨,4.44,11.32
1530,5202,力新,7.84,11.26
1531,1584,精剛,13.7,11.19
1532,6576,逸達,13.2,11.19
1533,1316,上曜,54,11.16
1534,3325,旭品,10.2,11.15
1535,3066,李洲,10.6,11.14
1536,1446,宏和,15.3,11.13
1537,3228,金麗科,7.52,11.09
1538,6164,華興,11.2,11.05
1539,6598,ABC-KY,9.03,11.05
1540,8040,九暘,7.6,11.03
1541,6246,臺龍,4.09,11.02
1542,2230,泰茂,4.72,10.99
1543,2312,金寶,259,10.98
1544,5531,鄉林,115,10.98
1545,3047,訊舟,28.6,10.97
1546,8222,寶一,7.51,10.96
1547,4139,馬光-KY,5.29,10.95
1548,3284,太普高,7.54,10.93
1549,2109,華豐,44.7,10.9
1550,4804,大略-KY,5.1,10.89
1551,1459,聯發,34.5,10.88
1552,4534,慶騰,9.43,10.87
1553,2302,麗正,18,10.81
1554,3054,立萬利,8.7,10.79
1555,8201,無敵,6.71,10.76
1556,3276,宇環,8.9,10.75
1557,5521,工信,52.8,10.73
1558,2305,全友,22.2,10.72
1559,3508,位速,10.1,10.7
1560,3625,西勝,11,10.69
1561,8418,捷必勝-KY,8.7,10.68
1562,2243,宏旭-KY,4.91,10.65
1563,6465,威潤,3.4,10.65
1564,8085,福華,14.9,10.65
1565,1475,業旺,7.02,10.63
1566,6127,九豪,11.5,10.63
1567,1443,立益,11.8,10.56
1568,4513,福裕,8.11,10.55
1569,2405,浩鑫,36.3,10.47
1570,4167,松瑞藥,33.1,10.45
1571,6133,金橋,12.2,10.44
1572,5498,凱崴,20.1,10.39
1573,3499,環天科,5.69,10.35
1574,6226,光鼎,12.9,10.33
1575,2466,冠西電,16.7,10.31
1576,5328,華容,17.8,10.31
1577,3234,光環,7.93,10.3
1578,3520,華盈,7.86,10.26
1579,2911,麗嬰房,19.4,10.25
1580,3024,憶聲,28.4,10.23
1581,4109,加捷生醫,9.35,10.21
1582,6129,普誠,19.8,10.14
1583,2406,國碩,73.4,10.12
1584,1460,宏遠,68.2,10.11
1585,2440,太空梭,14.1,10.11
1586,4979,華星光,13.4,10.09
1587,6113,亞矽,5.01,10.01
1588,4108,懷特,23.9,9.97
1589,2543,皇昌,25.6,9.95
