,代號,名稱,股東權益(億),每股淨值(元)
187,3211,順達,78.3,52.3
188,1303,南亞,4287.0,52.21
189,6261,久元,68.8,52.08
190,5306,桂盟,65.4,51.92
191,2233,宇隆,31.4,51.69
192,5215,科嘉-KY,33.6,51.67
193,2439,美律,117,51.21
194,5288,豐祥-KY,33.7,50.94
195,1503,士電,270,50.77
196,6762,達亞,10.9,50.67
197,6643,M31,15.8,50.44
198,2404,漢唐,97.7,50.41
199,3501,維熹,59.5,50.3
200,3006,晶豪科,136,50.12
201,2228,劍麟,38,50.09
202,6279,胡連,50,50.02
203,6679,鈺太,21.3,49.78
204,5263,智崴,30.3,49.73
205,8044,網家,76.5,49.57
206,3617,碩天,40.1,49.32
207,5530,龍巖,224,49.27
208,4912,聯德控股-KY,31,49.23
209,6568,宏觀,14.9,48.97
210,6747,亨泰光,11.9,48.96
211,2412,中華電,3913.0,48.9
212,3023,信邦,123,48.87
213,5483,中美晶,522,48.68
214,9802,鈺齊-KY,90.4,48.64
215,2850,新產,153,48.29
216,6504,南六,34.9,48.06
217,2392,正崴,325,48.03
218,6438,迅得,33.3,48.03
219,4572,駐龍,17.2,48.02
220,1580,新麥,24.2,47.84
221,3130,一零四,15.8,47.39
222,9904,寶成,2075.0,47.32
223,1268,漢來美食,20,47.29
224,6591,動力-KY,15.2,47.14
225,3081,聯亞,43,47.1
226,6756,威鋒電子,32,47
227,4999,鑫禾,34.9,46.91
228,9941,裕融,255,46.89
229,6561,是方,33.2,46.83
230,9939,宏全,142,46.77
231,4552,力達-KY,54,46.58
232,1339,昭輝,35.5,46.45
233,2451,創見,198,46.23
234,1537,廣隆,37.9,46.14
235,3260,威剛,127,46.12
236,8942,森鉅,82.5,46.06
237,6472,保瑞,31.5,46.04
238,5287,數字,19.8,46
239,8480,泰昇-KY,18,45.95
240,1583,程泰,65.7,45.74
241,1777,生泰,18.3,45.73
242,1582,信錦,59.8,45.72
243,6703,軒郁,9.52,45.6
244,4571,鈞興-KY,24.3,45.54
245,3022,威強電,80.4,45.51
246,1906,寶隆,68.7,45.47
247,3037,欣興,723,45.42
248,2395,研華,357,45.41
249,2753,八方雲集,30.3,45.31
250,1234,黑松,181,45.15
251,8416,實威,12.7,45.14
252,6146,耕興,46.2,44.81
253,6538,倉和,16.7,44.8
254,3552,同致,38.3,44.73
255,4739,康普,54.7,44.7
256,6411,晶焱,42.4,44.66
257,3570,大塚,7.58,44.27
258,1102,亞泥,1803.0,44.26
259,6592,和潤企業,255,44.18
260,8924,大田,37,44.12
261,2478,大毅,64.4,44.1
262,5236,凌陽創新,25.8,44.1
263,5312,寶島科,26.5,44.08
264,2360,致茂,189,44.07
265,2524,京城,164,44.02
266,3693,營邦,16.9,44.01
267,3706,神達,526,43.98
268,5223,安力-KY,19.5,43.81
269,2459,敦吉,50,43.71
270,6274,台燿,117,43.64
271,3443,創意,58.3,43.49
272,3217,優群,39,43.3
273,3019,亞光,159,43.23
274,4580,捷流閥業,16.9,43.23
275,6435,大中,14.4,43.17
276,2385,群光,360,43.02
277,6285,啟碁,170,42.88
278,4138,曜亞,14.7,42.8
279,3526,凡甲,25,42.69
280,6672,騰輝電子-KY,30.5,42.69
281,6023,元大期,123,42.59
282,6405,悅城,27.9,42.47
283,2316,楠梓電,76.8,42.33
284,1504,東元,957,42.3
285,1795,美時,111,42.21
286,8240,華宏,42.6,42.09
287,2387,精元,90.7,41.86
288,2382,廣達,1681.0,41.81
289,2809,京城銀,468,41.77
290,5356,協益,44.1,41.7
291,2393,億光,188,41.68
292,6416,瑞祺電通,32.3,41.64
293,2496,卓越,7.9,41.56
294,9951,皇田,31.1,41.5
295,5474,聰泰,16.4,41.28
296,3042,晶技,128,41.19
297,4755,三福化,41.8,41.16
298,3483,力致,32,41.15
299,5907,大洋-KY,80.4,41.11
300,6719,力智,29,41.05
301,3605,宏致,55.3,41.01
302,2348,海悅,62.4,40.9
303,8410,森田,14.9,40.79
304,4555,氣立,28.2,40.77
305,4991,環宇-KY,45,40.76
306,6641,基士德-KY,14.8,40.6
307,2006,東和鋼鐵,297,40.46
308,4107,邦特,28,40.45
309,5511,德昌,46.8,40.44
310,3455,由田,24.2,40.39
311,8086,宏捷科,79.3,40.38
312,2114,鑫永銓,31.5,40.33
313,6788,華景電,14,40.32
314,6485,點序,17.3,40.26
315,6806,森崴能源,61.8,40.17
316,3289,宜特,33.2,40.14
317,5299,杰力,14.3,40.01
318,4163,鐿鈦,19.3,39.89
319,6138,茂達,36,39.89
320,6196,帆宣,78,39.8
321,4971,IET-KY,14.5,39.78
322,3252,海灣,20.1,39.7
323,8473,山林水,73.6,39.69
324,4557,永新-KY,17.7,39.58
325,4416,三圓,22.6,39.55
326,2527,宏璟,107,39.38
327,6728,上洋,9.04,39.29
328,8155,博智,19.5,39.28
329,6284,佳邦,55,39.27
330,6277,宏正,47.4,39.19
